省份,主导类型,领先占比
上海,养老产业,1.0
云南,特殊危险环境产业,1.0
内蒙古,特殊危险环境产业,1.0
北京,养老产业,0.8888888888888888
吉林,养老产业,1.0
四川,养老产业,0.7777777777777778
天津,养老产业,1.0
宁夏,养老产业,1.0
安徽,养老产业,0.6666666666666666
山东,特殊危险环境产业,1.0
山西,特殊危险环境产业,0.8888888888888888
广东,特殊危险环境产业,1.0
广西,养老产业,1.0
新疆,特殊危险环境产业,1.0
江苏,特殊危险环境产业,1.0
江西,养老产业,1.0
河北,养老产业,1.0
河南,特殊危险环境产业,0.7777777777777778
浙江,养老产业,0.5555555555555556
海南,养老产业,1.0
湖北,特殊危险环境产业,1.0
湖南,养老产业,1.0
甘肃,养老产业,1.0
福建,特殊危险环境产业,0.8888888888888888
西藏,制造业,1.0
贵州,养老产业,1.0
辽宁,养老产业,1.0
重庆,养老产业,1.0
陕西,养老产业,0.8888888888888888
青海,养老产业,1.0
黑龙江,养老产业,1.0
