省份,离散度类别,平均CV
上海,中等离散度,0.306777942280499
云南,中等离散度,0.2553115566978075
内蒙古,中等离散度,0.1916276161226412
北京,中等离散度,0.25528297824133045
吉林,中等离散度,0.4206475415246861
四川,中等离散度,0.40193164353829824
天津,中等离散度,0.22506291331920064
宁夏,低离散度,0.17176419309867258
安徽,中等离散度,0.36132367264496995
山东,中等离散度,0.3189323610622631
山西,中等离散度,0.3026619962928271
广东,低离散度,0.15665146759909998
广西,中等离散度,0.35314879263975957
新疆,中等离散度,0.32715507624628487
江苏,中等离散度,0.2866954117138237
江西,中等离散度,0.309061350781421
河北,中等离散度,0.37777120912698897
河南,中等离散度,0.3150321269604919
浙江,中等离散度,0.2518411312694742
海南,中等离散度,0.35917510915610945
湖北,中等离散度,0.35331620653571344
湖南,中等离散度,0.35081122431208583
甘肃,中等离散度,0.3802039770844378
福建,中等离散度,0.21639715203975068
西藏,高离散度,0.9318724409268443
贵州,中等离散度,0.24391913193329312
辽宁,中等离散度,0.3678273816771658
重庆,中等离散度,0.32795595692528656
陕西,中等离散度,0.28386971603867744
青海,中等离散度,0.28196723092073345
黑龙江,中等离散度,0.3564298999665345
